player_id,player_name,elo_rating
206173,Jannik Sinner,2171.25
104925,Novak Djokovic,2085.21
207989,Carlos Alcaraz,2020.52
103819,Roger Federer,2015.64
104417,Robin Soderling,2013.88
100644,Alexander Zverev,1963.89
105223,Juan Martin del Potro,1930.94
126203,Taylor Fritz,1919.76
106421,Daniil Medvedev,1906.95
106401,Nick Kyrgios,1905.01
102158,Patrick Rafter,1894.75
104745,Rafael Nadal,1889.09
105777,Grigor Dimitrov,1868.46
200282,Alex De Minaur,1866.45
207733,Jack Draper,1857.93
101736,Andre Agassi,1855.39
208029,Holger Rune,1844.06
104053,Andy Roddick,1839.69
101948,Pete Sampras,1835.5
200624,Sebastian Korda,1830.04
126774,Stefanos Tsitsipas,1824.16
126205,Tommy Paul,1822.11
128034,Hubert Hurkacz,1821.38
126610,Matteo Berrettini,1820.58
111575,Karen Khachanov,1804.12
200005,Ugo Humbert,1794.97
104339,Mario Ancic,1783.09
103900,David Nalbandian,1773.15
103888,Mardy Fish,1769.81
101414,Boris Becker,1768.09
207518,Lorenzo Musetti,1767.11
105683,Milos Raonic,1765.87
102765,Nicolas Escude,1764.89
210097,Ben Shelton,1764.87
134770,Casper Ruud,1758.17
104792,Gael Monfils,1755.53
104607,Tomas Berdych,1755.11
207830,Tomas Machac,1754.74
208103,Jiri Lehecka,1753.21
105453,Kei Nishikori,1751.89
200615,Alexei Popyrin,1751.43
105526,Jan Lennard Struff,1750.35
101222,Stefan Edberg,1749.54
111442,Jordan Thompson,1746.84
126094,Andrey Rublev,1746.8
209950,Arthur Fils,1745.78
126207,Frances Tiafoe,1745.5
200000,Felix Auger Aliassime,1742.37
105238,Alexandr Dolgopolov,1731.48
133430,Denis Shapovalov,1726.23
134868,Tallon Griekspoor,1725.04
207925,Flavio Cobolli,1724.13
101990,Richard Krajicek,1722.95
111202,Hyeon Chung,1721.31
103285,Radek Stepanek,1716.01
101529,Michael Stich,1713.73
103507,Juan Carlos Ferrero,1713.05
202103,Francisco Cerundolo,1712.09
202385,Jenson Brooksby,1710.71
103602,Fernando Gonzalez,1708.08
103344,Ivan Ljubicic,1702.93
105138,Roberto Bautista Agut,1702.7
105807,Pablo Carreno Busta,1700.18
103970,David Ferrer,1697.95
103498,Marat Safin,1696.92
102701,Marcelo Rios,1692.1
206909,Brandon Nakashima,1691.22
105676,David Goffin,1687.78
106423,Thanasi Kokkinakis,1687.23
101793,Jim Courier,1686.39
103017,Nicolas Kiefer,1684.19
104338,Juan Monaco,1682.25
105668,Jerzy Janowicz,1680.64
208286,Matteo Arnaldi,1679.44
105227,Marin Cilic,1679.13
106218,Marcos Giron,1678.32
210506,Alex Michelsen,1676.2
104026,Joachim Johansson,1676.08
111815,Cameron Norrie,1674.47
104597,Nicolas Almagro,1674.32
103898,Julien Benneteau,1672.05
200325,Emil Ruusuvuori,1670.52
102882,Mark Philippoussis,1670.48
102450,Tim Henman,1669.25
210150,Jakub Mensik,1668.24
102338,Yevgeny Kafelnikov,1668.06
104871,Jeremy Chardy,1667.86
144684,Alex Molcan,1666.1
101320,Magnus Gustafsson,1656.24
144869,Tomas Martin Etcheverry,1653.84
208659,Giovanni Mpetshi Perricard,1653.11
102562,Jiri Novak,1652.91
104731,Kevin Anderson,1652.4
126128,Roman Safiullin,1652.33
103781,Jurgen Melzer,1652.28
106415,Yoshihito Nishioka,1652.13
103917,Nicolas Mahut,1651.0
124187,Reilly Opelka,1650.78
103566,Michael Llodra,1650.68
126214,Alejandro Tabilo,1649.84
105870,Yannick Hanfmann,1649.4
200221,Alejandro Davidovich Fokina,1647.59
144707,Mikael Ymer,1643.28
101774,Todd Martin,1639.58
102863,Takao Suzuki,1639.43
105916,Marton Fucsovics,1639.41
103720,Lleyton Hewitt,1638.01
200175,Miomir Kecmanovic,1637.92
102419,Christophe Van Garsse,1637.18
102563,Thomas Johansson,1636.06
126846,Aleksandar Vukic,1634.98
106426,Cristian Garin,1634.93
105577,Vasek Pospisil,1634.83
101962,Younes El Aynaoui,1634.81
102344,Karol Kucera,1634.81
101727,Jason Stoltenberg,1634.17
209098,Hamad Medjedovic,1633.88
103264,Mariano Puerta,1633.56
122298,Botic Van De Zandschulp,1633.04
136440,Dominik Koepfer,1632.83
102257,Greg Rusedski,1632.67
106148,Roberto Carballes Baena,1631.0
105656,Marcelo Arevalo,1630.32
101723,Magnus Larsson,1629.99
126239,Arthur Rinderknech,1629.92
104076,Jose Acasuso,1629.65
102148,Fabrice Santoro,1629.47
104571,Marcos Baghdatis,1628.89
102854,Sjeng Schalken,1625.2
101084,Jakob Hlasek,1625.17
103758,Taylor Dent,1624.63
105723,Andrey Kuznetsov,1623.06
104545,John Isner,1623.02
103786,Nikolay Davydenko,1623.02
111797,Nicolas Jarry,1623.01
132686,Nuno Borges,1622.16
103828,Jean Julien Rojer,1621.76
111190,Zhizhen Zhang,1621.58
102025,Mikael Tillstrom,1621.42
132283,Lorenzo Sonego,1621.41
105575,Ricardas Berankis,1621.2
105583,Dusan Lajovic,1620.92
102644,Franco Squillari,1620.42
101434,Petr Korda,1619.79
111581,Michael Mmoh,1619.69
102887,Ramon Delgado,1619.68
122330,Alexander Bublik,1619.26
102233,Leander Paes,1619.04
202104,Sebastian Baez,1619.03
104620,Simone Bolelli,1618.85
127339,Borna Gojo,1618.16
104547,Horacio Zeballos,1618.16
103401,Jan Hernych,1617.01
103813,Jarkko Nieminen,1616.83
206681,Fabian Marozsan,1616.82
103484,James Blake,1616.66
101965,Wayne Ferreira,1616.38
104180,Gilles Muller,1615.84
102271,Hicham Arazi,1615.74
104468,Gilles Simon,1615.16
104542,Jo-Wilfried Tsonga,1614.92
104918,Andy Murray,1612.92
102845,Carlos Moya,1610.78
104527,Stan Wawrinka,1610.39
102959,Marko Tkalec,1610.21
103600,Mohammad Ghareeb,1609.64
104523,Frederico Gil,1609.45
209992,Juncheng Shang,1608.04
102286,Wayne Black,1607.95
103387,Paradorn Srichaphan,1607.54
101897,Fernando Meligeni,1607.5
103598,Xavier Malisse,1607.13
111513,Laslo Djere,1606.54
101611,Cedric Pioline,1606.54
125802,Ilya Ivashka,1605.84
102610,Albert Costa,1605.56
102456,Felix Mantilla,1605.08
211663,Joao Fonseca,1604.93
103163,Tommy Haas,1604.27
102446,Andrei Medvedev,1603.97
111577,Jared Donaldson,1603.62
111460,Quentin Halys,1602.47
106378,Kyle Edmund,1602.27
106331,Christopher Oconnell,1601.62
101885,Wayne Arthurs,1601.53
105985,Darian King,1600.59
208502,Dominic Stricker,1600.57
104332,Philipp Petzschner,1600.21
106432,Borna Coric,1600.09
102259,Jerome Golmard,1599.4
111456,Mackenzie Mcdonald,1598.74
105357,John Millman,1597.87
126127,Benjamin Bonzi,1597.42
207686,Alexander Shevchenko,1596.41
104976,Ryan Sweeting,1596.41
105732,Pierre Hugues Herbert,1596.18
101991,Mauricio Hadad,1596.03
207352,Bu Yunchaokete,1596.01
104259,Philipp Kohlschreiber,1595.49
105992,Ryan Harrison,1595.28
104898,Robin Haase,1595.22
102110,Daniel Nestor,1594.84
103325,Wesley Moodie,1594.33
101404,Thomas Muster,1593.56
103581,Flavio Saretta,1593.55
102703,Hyung Taik Lee,1593.08
103656,Albert Montanes,1592.07
205734,Thiago Seyboth Wild,1592.03
104273,Edouard Roger-Vasselin,1591.91
106058,Jack Sock,1591.59
200267,Zizou Bergs,1591.4
100955,Yahiya Doumbia,1589.92
105936,Filip Krajinovic,1589.12
208014,Rinky Hijikata,1588.74
200059,Yibing Wu,1588.55
126952,Soon Woo Kwon,1587.79
101613,Malivai Washington,1586.35
106175,Ricardo Rodriguez,1585.49
103812,Victor Hanescu,1585.41
104926,Fabio Fognini,1585.17
111794,Kamil Majchrzak,1585.12
106298,Lucas Pouille,1584.81
104327,Steve Darcis,1584.51
106234,Aslan Karatsev,1583.33
103990,Tommy Robredo,1582.63
108532,Worapol Thongkamcho,1582.62
102369,Julien Boutter,1582.48
101964,Goran Ivanisevic,1581.97
144895,Corentin Moutet,1581.78
103789,Irakli Labadze,1580.75
103504,Febi Widhiyanto,1579.98
102035,Jonas Bjorkman,1579.84
104534,Dudi Sela,1579.4
106329,Thiago Monteiro,1579.29
105173,Adrian Mannarino,1578.15
106071,Bernard Tomic,1578.02
200436,Zsombor Piros,1576.69
104897,Matthias Bachinger,1576.06
124116,Sebastian Ofner,1575.62
103193,Peter Wessels,1575.4
103084,Guillermo Canas,1575.27
101191,Richey Reneberg,1575.17
104586,Lukas Rosol,1575.07
102029,Filip Dewulf,1574.81
101318,Javier Frana,1574.81
103428,Juan Ignacio Chela,1574.26
102179,Antony Dupuis,1574.09
106078,Egor Gerasimov,1573.83
124186,Alexandre Muller,1573.77
102401,Scott Draper,1573.75
102521,Hendrik Dreekmann,1573.49
103824,Orest Tereshchuk,1573.38
102839,Nicolas Lapentti,1573.31
102107,Jan Frode Andersen,1573.12
103096,Arnaud Clement,1573.0
200384,Hugo Gaston,1572.72
105379,Aljaz Bedene,1572.7
102740,Francisco Rodriguez,1572.58
104471,Ivan Dodig,1572.1
105373,Martin Klizan,1572.1
104460,Dustin Brown,1571.68
104395,Marcel Felder,1571.52
105449,Steve Johnson,1571.32
144750,Lloyd Harris,1571.22
105464,Christopher Rungkat,1571.06
106233,Dominic Thiem,1570.88
103151,Mariano Zabaleta,1570.81
100656,Ivan Lendl,1570.59
103752,Simon Greul,1570.43
133297,Yosuke Watanuki,1570.03
103612,Alexey Kedryuk,1569.66
103171,Raemon Sluiter,1569.0
200303,Pavel Kotov,1568.7
105385,Donald Young,1568.67
106210,Jiri Vesely,1568.39
105023,Sam Querrey,1568.34
102905,Stefan Koubek,1567.53
102202,Kenneth Carlsen,1566.79
104068,Robby Ginepri,1566.67
104499,Jimmy Wang,1566.42
104813,Grega Zemlja,1566.21
102358,Thomas Enqvist,1566.15
104386,Janko Tipsarevic,1565.96
103909,Guillermo Coria,1565.69
102642,Cyril Saulnier,1565.59
133835,Gijs Brouwer,1565.38
104025,Amer Delic,1565.16
101601,Brett Steven,1564.55
105550,Guido Pella,1564.28
104719,Marcel Granollers,1563.35
104631,Harshana Godamanna,1563.02
105051,Matthew Ebden,1562.81
103632,Luis Horna,1562.8
126646,Tim Van Rijthoven,1562.09
101884,Frank Ofori,1562.02
103808,Potito Starace,1561.99
207608,Timofey Skatov,1561.81
101647,Byron Black,1561.79
126845,Max Purcell,1561.51
104098,Dmitry Tursunov,1561.44
104735,Tobias Kamke,1561.06
106186,Jason Kubler,1560.64
102162,Chris Woodruff,1560.15
103337,Ben Qiang Zhu,1559.96
102556,Claude Ngoran,1559.59
103451,Bjorn Phau,1558.97
111153,Christopher Eubanks,1558.84
102834,Paul Goldstein,1558.82
104655,Pablo Cuevas,1558.44
102796,Magnus Norman,1558.32
105946,Liang Chi Huang,1558.0
209070,Arthur Cazaux,1557.71
105657,Marius Copil,1557.67
105217,Thiemo De Bakker,1557.47
104604,Ruben Gonzales,1557.05
209113,Gabriel Diallo,1556.95
133975,Benjamin Hassan,1556.66
210530,Learner Tien,1556.16
105079,Ivan Sergeyev,1555.75
103694,Olivier Rochus,1555.69
103176,David Sanchez,1555.57
106296,Gregoire Barrere,1555.36
102928,Hee Seok Chung,1555.1
106109,Alex Bolt,1554.96
105790,Yong Kyu Lim,1554.87
104233,Frederik Nielsen,1554.31
104978,Daniel Brands,1554.28
105255,Bassam Beidas,1554.13
102277,Bing Chao Lin,1553.89
104594,Marinko Matosevic,1553.89
123795,Altug Celikbilek,1553.59
101776,Sandon Stolle,1553.53
101235,Paul Haarhuis,1553.2
131934,Andrea Vavassori,1553.1
103166,Vladimir Voltchkov,1552.88
104724,Eduardo Schwank,1552.52
101733,Jan Siemerink,1552.16
102860,Agustin Calleri,1551.89
104678,Viktor Troicki,1551.88
105649,Cedrik Marcel Stebe,1551.79
102227,Sargis Sargsian,1551.56
104965,Pavol Cervenak,1551.39
103206,Sebastien Grosjean,1551.37
101820,Marc Rosset,1550.91
103066,Mark Nielsen,1550.8
101062,Mats Wilander,1550.66
101651,Owen Casey,1549.89
106281,Liam Broady,1549.61
104660,Sergiy Stakhovsky,1549.12
102100,Bartlomiej Dabrowski,1548.78
101717,Diego Nargiso,1548.59
104639,Wayne Odesnik,1548.48
110685,G D Jones,1548.26
209260,Luciano Darderi,1547.69
103060,Alejandro Hernandez,1547.49
104535,Daniel Garza,1547.47
104214,Igor Andreev,1547.4
103739,Jose De Armas,1547.4
105881,Matthew Barton,1546.98
103103,Dominik Hrbaty,1546.9
105558,Guillaume Rufin,1546.78
102856,Gustavo Kuerten,1546.58
104198,Guillermo Garcia Lopez,1546.52
105226,Attila Balazs,1546.25
209209,Filip Misolic,1545.88
105032,Sam Groth,1545.85
103529,Aisam Ul Haq Qureshi,1545.82
102462,Bryan Juinio,1545.58
104651,Martin Alund,1545.51
207680,Facundo Diaz Acosta,1545.32
101932,Jared Palmer,1545.16
104467,Lamine Ouahab,1545.04
101334,Alexander Volkov,1545.03
104368,Daniel King Turner,1545.03
103638,Jhonson Garcia,1544.85
200273,Hady Habib,1544.77
104252,Florian Mayer,1543.9
103280,Martin Verkerk,1543.34
104229,Yen Hsun Lu,1543.14
101889,Todd Woodbridge,1543.09
104166,Alex Bogomolov Jr,1543.07
105456,Sergio Galdos,1542.91
104589,Chris Guccione,1542.88
103590,Michael Quintero,1542.78
104210,Ryan Russell,1542.71
106249,Joao Domingues,1542.62
105554,Daniel Evans,1542.26
200670,J J Wolf,1541.88
104869,Sergei Bubka,1541.79
102374,Alex Corretja,1541.75
208363,Mariano Navone,1541.51
104292,Izak Van Der Merwe,1541.35
103997,Lukasz Kubot,1541.23
105430,Radu Albot,1541.18
106033,Romain Arneodo,1541.06
102656,Tommi Lenho,1540.98
105208,Ernests Gulbis,1540.56
106162,Franco Agamenone,1540.45
102783,Rainer Schuettler,1540.4
105376,Peter Gojowczyk,1540.02
105004,Dimitar Kutrovsky,1539.91
104330,Rajeev Ram,1539.23
102934,Nicolas Coutelot,1539.23
105095,Evgeny Korolev,1538.59
105064,Thomaz Bellucci,1538.57
101895,Michael Brown B395,1538.31
202058,Thiago Agustin Tirante,1538.3
104500,Somdev Devvarman,1537.93
103110,Daniele Bracciali,1537.79
207797,Jonas Forejtek,1537.77
104305,Luka Gregorc,1537.67
108844,Hamed Ul Haq,1537.38
102021,Michael Chang,1537.33
126149,Gianluca Mager,1537.28
104721,Josselin Ouanna,1537.23
103227,Mariano Sanchez,1537.19
104043,Marc Lopez,1537.02
102087,Oleg Ogorodov,1536.97
102395,Ville Liukko,1536.75
101888,Daniel Vacek,1536.51
103175,Toshihide Matsui,1536.41
105041,Lukas Lacko,1536.04
104167,Todd Widom,1535.67
124079,Pedro Martinez,1535.62
126555,Tung Lin Wu,1535.52
106026,Yuki Bhambri,1535.25
104312,Andreas Seppi,1534.97
102320,Lazaro Navarro Batles,1534.81
100431,Mansour Bahrami,1534.76
126106,Ryan Peniston,1534.73
102104,Christian Ruud,1534.57
101484,Vladimir Gabrichidze,1534.38
105820,Juan Carlos Saez,1534.35
200514,Jurij Rodionov,1534.34
103188,Michael Russell,1534.19
105386,Janez Semrajc,1534.07
126129,Billy Harris,1533.36
104593,Daniel Gimeno Traver,1532.73
105074,Ruben Bemelmans,1532.6
111181,Pruchya Isarow,1532.59
104673,Julio Cesar Campozano,1532.59
102811,Dusan Vemic,1532.57
105912,Diego Galeano,1532.2
108701,Juan Sebastian Cabal,1532.17
102607,Juan Balcells,1531.96
101532,Francisco Clavet,1531.88
103850,Sebastian Decoud,1531.63
103527,Julien Jeanpierre,1531.53
209284,Elmer Moller,1531.45
103292,Gaston Gaudio,1531.43
208233,Mattia Bellucci,1531.4
102506,Quino Munoz,1531.4
103333,Ivo Karlovic,1531.3
101792,Slava Dosedel,1531.21
103913,Ian Flanagan,1531.0
202320,Beibit Zhukayev,1530.96
208010,Pablo Llamas Ruiz,1530.69
103746,Miguel Gallardo Valles,1530.51
104583,Filip Polasek,1530.37
106065,Marco Cecchinato,1530.25
202261,Otto Virtanen,1530.03
120401,Tucker Vorster,1530.0
101185,Mark Woodforde,1529.96
104352,Colin Obrien,1529.75
127157,Daniel Altmaier,1529.6
101703,Guillaume Raoux,1529.58
105902,James Duckworth,1529.54
104268,Alejandro Falla,1529.48
102716,Maxime Huard,1529.36
101725,Gabriel Markus,1529.36
102093,Martin Damm,1528.97
103184,Bob Bryan,1528.93
102318,Andrei Pavel,1528.92
104379,Todd Reid,1528.72
102106,Davide Sanguinetti,1528.66
103514,Young Jun Kim,1528.23
103821,Danai Udomchoke,1528.1
101843,Sergi Bruguera,1528.05
103499,Aqeel Khan,1528.05
105643,Federico Delbonis,1527.59
103515,Filip Aniola,1527.31
200318,Yu Hsiou Hsu,1527.29
101349,Adam Malik,1527.29
104910,Tihomir Grozdanov,1527.16
111761,Benjamin Lock,1527.07
104371,Ivo Minar,1526.67
122533,Nam Hoang Ly,1526.57
103356,Michel Kratochvil,1526.28
103065,Kepler Orellana,1526.02
104559,Teymuraz Gabashvili,1525.85
101196,Derrick Rostagno,1525.84
104086,Mikhail Filima,1525.56
103050,Shahab Hassani Nafez,1525.48
104200,Juan Manuel Elizondo,1525.31
210312,Oliver Ojakaar,1525.0
108973,Carl Sundberg,1524.99
100653,Andres Gomez,1524.98
108593,Wing Luen Wong,1524.93
105028,Jesse Levine,1524.91
104823,Bruno Rodriguez,1524.88
206470,Cezar Cretu,1524.84
104112,Benjamin Balleret,1524.75
104421,Martin Vilarrubi,1524.61
210012,Henrique Rocha,1524.57
103593,Marcelo Barboza,1524.52
103946,Bruno Soares,1524.51
144821,Genaro Alberto Olivieri,1524.45
106361,Adam Pavlasek,1524.41
104360,Adam Chadaj,1524.39
101976,Federico Dondo,1524.31
210142,Olaf Pieczkowski,1524.1
104609,Omar Hedayet,1524.08
102238,Alberto Berasategui,1524.01
105961,David Souto,1524.01
106021,Dragos Dima,1523.97
108693,Romano Tatuhey,1523.94
106075,Jozef Kovalik,1523.92
104196,Carlos Cuadrado,1523.79
101156,Juan Pino,1523.78
102331,Ilou Lonfo,1523.75
106216,Bjorn Fratangelo,1523.7
102558,Eric Taino,1523.66
101367,Igor Saric,1523.63
102737,Gergely Kisgyorgy,1523.46
105932,Nikoloz Basilashvili,1523.31
105573,Henri Kontinen,1523.22
103538,James Auckland,1523.21
102053,Brian Macphie,1523.08
104496,Luis Manuel Flores,1522.99
104958,Carsten Ball,1522.96
104051,Andrej Kracman,1522.93
144719,Jaume Munar,1522.84
104146,Jonathan Chu,1522.75
207678,Juan Manuel Cerundolo,1522.51
104928,Sun Yong Kim Jr,1522.49
200272,Jean Jacques Rakotohasy,1522.48
108847,Jahanbakhsh Souri,1522.42
103902,Jan Mertl,1522.38
101806,Marc Kevin Goellner,1522.21
105477,Marco Trungelliti,1522.16
105216,Yuichi Sugita,1522.02
102549,Rolandas Murashka,1521.95
104071,Raven Klaasen,1521.94
104433,Frank Dancevic,1521.93
105815,Tennys Sandgren,1521.9
106120,Ricardo Ojeda Lara,1521.89
105413,Andrej Martin,1521.88
127760,Lukas Klein,1521.82
104217,Simon Stadler,1521.75
103063,Sebastien De Chaunac,1521.61
104600,Treat Conrad Huey,1521.6
103393,Yuri Schukin,1521.46
106328,Christian Harrison,1521.18
133933,Thomas Yaka Kofi Setodji,1521.15
104585,Gyorgy Balazs,1521.12
101495,Miguel Tobon,1521.0
108607,Andrei Luzgin,1520.87
207669,Robert Strombachs,1520.83
209414,Luca Van Assche,1520.8
101609,David Wheaton,1520.71
101901,Chuck Adams,1520.35
103031,Julian Alonso,1520.27
105053,Santiago Giraldo,1520.25
126190,Nicolas Alvarez,1520.24
103722,Florent Serra,1520.2
208230,Alibek Kachmazov,1520.16
108717,Francis Casey Alcantara,1520.08
104424,Go Soeda,1519.54
208843,Jerome Kym,1519.48
105149,Reda El Amrani,1519.45
200416,August Holmgren,1519.26
101358,Olivier Delaitre,1519.15
106408,Mario Vilella Martinez,1519.12
102617,Kim Tiilikainen,1518.93
110748,Nikola Milojevic,1518.81
102539,Bohdan Ulihrach,1518.72
103252,Alberto Martin,1518.44
103224,Zeljko Tosic,1518.32
104999,Mischa Zverev,1518.27
104561,Jae Sung An,1518.19
104895,Abdullah Maqdas,1518.09
103794,Benjamin Becker,1517.98
209931,Lukas Pokorny,1517.91
103439,Dimitri Mazur,1517.83
101833,Michael Tebbutt,1517.8
103287,Krystian Pfeiffer,1517.7
103018,Max Mirnyi,1517.68
104947,Marsel Ilhan,1517.67
102998,Jan Michael Gambill,1517.49
127300,Jurabek Karimov,1517.46
104476,Louk Sorensen,1517.46
101979,Ricardo Mena,1517.43
206782,Demetris Azoides,1517.32
207681,Francisco Comesana,1517.31
200008,Alexis Galarneau,1517.28
102024,Hernan Gumy,1517.19
106397,Wishaya Trongcharoenchaikul,1517.16
104291,Malek Jaziri,1517.03
209080,Blaise Bicknell,1517.0
104209,Rainer Eitzinger,1516.98
102632,Michal Gawlowski,1516.96
104548,Brian Baker,1516.86
102036,Marco Osorio,1516.68
103701,Diego Hartfield,1516.61
102469,Solon Peppas,1516.61
102968,Jonathan Erlich,1516.54
105487,Facundo Bagnis,1516.29
103077,Konstantinos Economidis,1516.28
108688,Martin Sayer,1516.16
104008,Carlos Avellan,1516.16
106390,Matteo Donati,1516.13
104122,Carlos Berlocq,1516.11
212063,Matej Dodig,1516.06
106043,Diego Schwartzman,1516.02
102327,Adam Skrzypczak,1515.89
105012,Alexander Bury,1515.85
102533,Jens Knippschild,1515.78
108640,Mik Ledvonova,1515.66
104515,Mathieu Montcourt,1515.64
104040,Adam Thompson,1515.52
104919,Leonardo Mayer,1515.46
102835,Luke Milligan,1515.34
104477,Jorge Aguilar,1515.21
102167,Juan Albert Viloca Puig,1515.19
100991,Johnny Goudenbour,1515.17
103197,John Doran,1515.09
120424,Yannick Maden,1514.95
104224,Travis Rettenmaier,1514.89
105113,Patrik Rosenholm,1514.84
101958,Pierre Bouteyre,1514.76
101348,Dave Randall,1514.75
108960,Michael Lai,1514.57
106000,Damir Dzumhur,1514.51
134472,Antoine Bellier,1514.5
105650,Marcus Willis,1514.32
109739,Maximilian Marterer,1514.32
207799,Matheus Pucinelli De Almeida,1514.31
104633,Mathieu Rodrigues,1514.29
103751,Jonas Froberg,1514.28
102143,Nicolas Thomann,1514.27
104383,Diogo Rocha,1514.24
102272,Branislav Galik,1514.21
104763,Rafael Arevalo,1514.21
102448,Ali Hamadeh,1514.18
111200,Elias Ymer,1514.13
105806,Mirza Basic,1514.08
104342,Matias Silva,1513.98
117348,Y Wang,1513.83
101735,Richard Fromberg,1513.81
